                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3667,                 1.2019,                 1.3383,                0.68203,                0.58196,                0.63973,                0.39108,                 1.2609,                   1.03,                 1.2748,               0.006634,               0.006634,               0.006634
                     36,                 1.3716,                 1.2049,                 1.3371,                 0.6851,                0.58161,                0.64181,                0.39225,                  1.258,                 1.0261,                 1.2721,               0.006535,               0.006535,               0.006535
                     37,                 1.3678,                 1.2001,                 1.3362,                0.68137,                0.58593,                0.64208,                0.39306,                 1.2568,                 1.0227,                 1.2694,               0.006436,               0.006436,               0.006436
                     38,                 1.3634,                 1.2001,                 1.3301,                0.68659,                0.58181,                0.64201,                0.39289,                 1.2548,                  1.022,                 1.2675,               0.006337,               0.006337,               0.006337
                     39,                  1.361,                 1.1956,                 1.3269,                0.68448,                0.58342,                0.64244,                0.39377,                 1.2524,                 1.0197,                 1.2659,               0.006238,               0.006238,               0.006238
                     40,                 1.3613,                 1.1935,                 1.3317,                 0.6799,                0.58893,                0.64285,                0.39363,                 1.2518,                 1.0176,                  1.266,               0.006139,               0.006139,               0.006139
                     41,                 1.3518,                 1.1874,                 1.3254,                0.68496,                0.58636,                0.64329,                 0.3944,                 1.2504,                 1.0163,                  1.265,                0.00604,                0.00604,                0.00604
                     42,                 1.3579,                 1.1849,                 1.3262,                0.68245,                 0.5898,                0.64392,                 0.3947,                 1.2491,                 1.0149,                 1.2643,               0.005941,               0.005941,               0.005941
                     43,                 1.3488,                 1.1762,                 1.3241,                0.68407,                0.59081,                0.64481,                 0.3951,                 1.2475,                 1.0134,                 1.2634,               0.005842,               0.005842,               0.005842
                     44,                   1.35,                 1.1721,                 1.3201,                0.68525,                0.58977,                 0.6461,                0.39596,                 1.2468,                 1.0121,                 1.2628,               0.005743,               0.005743,               0.005743
                     45,                 1.3499,                  1.173,                  1.323,                0.68804,                0.58806,                0.64681,                0.39665,                 1.2456,                 1.0106,                 1.2622,               0.005644,               0.005644,               0.005644
                     46,                 1.3434,                 1.1678,                 1.3193,                0.68334,                0.59173,                0.64711,                0.39728,                 1.2449,                  1.009,                 1.2618,               0.005545,               0.005545,               0.005545
                     47,                 1.3455,                 1.1663,                 1.3142,                0.68587,                 0.5905,                0.64811,                0.39743,                 1.2436,                 1.0076,                 1.2609,               0.005446,               0.005446,               0.005446
                     48,                 1.3365,                 1.1637,                 1.3163,                0.68891,                0.58976,                0.64846,                0.39798,                 1.2425,                 1.0062,                 1.2602,               0.005347,               0.005347,               0.005347
                     49,                  1.341,                 1.1537,                 1.3128,                0.68858,                 0.5902,                0.64842,                0.39841,                 1.2419,                 1.0047,                 1.2596,               0.005248,               0.005248,               0.005248
                     50,                 1.3364,                 1.1564,                 1.3094,                0.68881,                0.59037,                0.64889,                0.39869,                 1.2408,                  1.004,                 1.2589,               0.005149,               0.005149,               0.005149
                     51,                 1.3301,                 1.1478,                 1.3102,                0.69179,                0.58809,                0.64926,                0.39926,                 1.2393,                 1.0027,                  1.258,                0.00505,                0.00505,                0.00505
                     52,                 1.3355,                 1.1468,                 1.3093,                0.69166,                0.58906,                0.64954,                0.39946,                 1.2386,                 1.0009,                 1.2572,               0.004951,               0.004951,               0.004951
                     53,                 1.3293,                 1.1487,                 1.3072,                0.69106,                0.58937,                0.64981,                0.39993,                 1.2385,                0.99971,                  1.257,               0.004852,               0.004852,               0.004852
                     54,                 1.3242,                 1.1359,                 1.3071,                0.69105,                0.58965,                 0.6501,                0.40029,                 1.2379,                0.99893,                 1.2567,               0.004753,               0.004753,               0.004753
